isomeric_smiles,logS0
C1O[C@H]1c1ccccc1,-1.6
C=CCS[S@@](=O)CC=C,-0.83
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C,-5.825
CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,-4.761
CC(=O)N1CCN(CC1)c1ccc(OC[C@H]2CO[C@@](Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1,-3.8
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCN(CC2)C(=O)CO)c(F)c1,-1.97
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCOCC2)c(F)c1,-2.07
CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,-6.63
CC(=O)O[C@]1(C(C)=O)C(=C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-5.57
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)C(O)=O,-8.7585
CC(C)(C)NC[C@H](O)COc1ccc(NC(=O)NC2CCCCC2)cc1,-3.62
CC(C)(C)NC[C@H](O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,-1.57
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,-1.224
CC(C)(C)c1ccc(cc1)[C@@H](O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,-6.69
CC(C)(O\N=C(\C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccccc3)=C(N2C1=O)C(O)=O)c1csc(N)n1)C(O)=O,-2.038
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O,-4.8
CC(C)(S)[C@H](N)C(O)=O,-0.128
CC(C)=CCC[C@](C)(O)C=C,-1.99
CC(C)CC[C@@H](C)O,-1.38
CC(C)C[C@@H](C)O,-0.79625
CC(C)C[C@H](C)CO,-1.6
CC(C)C[C@H](N)C(O)=O,-0.75
CC(C)Cc1ccc(cc1)[C@@H](C)C(O)=O,-3.595
CC(C)Cn1c(C)nc2n(C)c(=O)n(C)c(=O)c12,-1.599
CC(C)Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.942
CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-3.1
CC(C)N(CC[C@H](c1ccccc1)c1cc(C)ccc1O)C(C)C,-2.58
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,-1.3
CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1,-1.93
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,-3.88
CC(C)NC[C@H](O)COc1cccc2ccccc12,-3.7075
CC(C)NC[C@H](O)COc1ccccc1CC=C,-2.82
CC(C)NC[C@H]1CCc2cc(CO)c(cc2N1)[N+]([O-])=O,-2.965
CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1,-5.74
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,-5.712
CC(C)[C@@H](C)O,-0.186666667
CC(C)[C@H](C)CO,-0.39
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,-2.53
CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1,-5.8
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)S(C)(=O)=O,-2.48
CC(C)n1c(\C=C\[C@H](O)C[C@H](O)CC(O)=O)c(-c2ccc(F)cc2)c2ccccc12,-3.83
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,-2.031
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,-2.086
CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,-2.32
CC1=C(CC(O)=O)c2cc(F)ccc2\C1=C/c1ccc(cc1)[S@](C)=O,-4.78
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CCC=CC1)C2=O)C(O)=O,-1.215
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,-3.481
CCC1(C(=O)NC(=O)NC1=O)C1=C[C@@H]2CC[C@@H](C2)C1,-2.773
CCC1(CC)C(=O)NC[C@H](C)C1=O,-0.382
CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,-6.44
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(c1)C(C)=O,-2.4375
CCCCCCCCC[C@@H](C)O,-2.94
CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,-1.81
CCCCCCC[C@@H](C)O,-2.74
CCCCCC[C@@H](C)O,-1.99
CCCCC[C@@H](C)O,-1.55
CCCCC[C@@H](O)CC,-1.98
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,-3.67
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,-2.47
CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,-3.511
CCCCNC(=O)OC[C@@](C)(CCC)COC(N)=O,-2.739
CCCCOc1ccc(OCCCN2CCOCC2)cc1,-3.5
CCCC[C@@H](C)O,-0.89
CCCC[C@@H](CC)C=O,-2.13
CCCC[C@@H](CC)CO,-2.11
CCCC[C@@H](O)CC,-1.47
CCCC[C@H](C)[C@H](C)O,-1.72
CCCC[C@](C)(O)CC,-1.6
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-8.174
CCCCn1c(C)nc2n(C)c(=O)n(C)c(=O)c12,-1.745
CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,-5.2
CCCOc1ccc2[C@@H]([C@H]([C@@H](c2c1)c1ccc(OC)cc1OCC(O)=O)C(O)=O)c1ccc2OCOc2c1,-6.771
CCC[C@@H](C)O,-0.29
CCC[C@@H](O)CC,-0.8
CCC[C@@H](O)[C@H](CC)CO,-0.54
CCC[C@@]1(CCc2ccccc2)CC(=O)[C@@H]([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(cn3)C(F)(F)F)c2)C(=O)O1,-6.3
CCC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,-2.41
CCC[C@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.333
CCC[C@H](C)CO,-1.11
CCC[C@H](O)C=C,-0.59
CCC[C@](C)(O)CC,-0.986666667
CCC[S@](=O)CCCN(CC)C[C@@H](O)COc1ccc(cc1)C#N,-1.17
CCC\C(=C(/C)O)C(C)=O,-0.88
CCC\C=C(\CC)C=O,-2.46
CCN(CC)C(=O)Nc1ccc(OC[C@@H](O)CNC(C)(C)C)c(c1)C(C)=O,-1.9
CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,-4.35
CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,-3.89
CCN(Cc1ccncc1)C(=O)[C@@H](CO)c1ccccc1,-1.698
CCN1CCC[C@@H]1CNC(=O)c1cc(ccc1OC)S(N)(=O)=O,-2.876
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,-2.95
CCOC(=O)C1=C(C)NC(C)=C([C@H]1c1cccc(Cl)c1Cl)C(=O)OC,-5.89
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(O)=O,-1.9
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@@H]2C[C@H]1C(O)=O,-2.84
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,-6.735
CCOP(=S)(OCC)Oc1ccc(cc1)[S@](C)=O,-2.3
CC[C@@H](C)C(C)(C)O,-0.89
CC[C@@H](C)C(C)=O,-0.67
CC[C@@H](C)OC(N)=O,-0.3
CC[C@@H](CO)NCCN[C@@H](CC)CO,-0.565
CC[C@@H](Cc1c(I)cc(I)c(N)c1I)C(O)=O,-4.58
CC[C@@H](O)C(C)(C)C,-1.15
CC[C@@H](O)C(C)C,-0.7
CC[C@@](C)(O)C(C)(C)C,-1.27
CC[C@@](C)(O)C(C)C,-0.85
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,-6.0
CC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,-2.333
CC[C@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
